university_name;university_tlds
Air Force Institute of Technology Graduate School of Engineering \& Management;afit.edu
American University;american.edu
Arizona State University;asu.edu
Arkansas State University;astate.edu
Auburn University;auburn.edu
Azusa Pacific University;apu.edu
Ball State University;bsu.edu
Baylor University;baylor.edu
Binghamton University;binghamton.edu
Boise State University;boisestate.edu
Boston College;bc.edu
Boston University;bu.edu
Bowling Green State University;bgsu.edu
Brandeis University;brandeis.edu
Brigham Young University;byu.edu
Brown University;brown.edu
CUNY City College;cuny.edu
California Institute of Technology;caltech.edu
Carnegie Mellon University;cmu.edu
Case Western Reserve University;case.edu
Catholic University of America;catholic.edu
Central Michigan University;cmich.edu
Chapman University;chapman.edu
Claremont Graduate University;cgu.edu
Clark Atlanta University;cau.edu
Clark University;clarku.edu
Clarkson University;clarkson.edu
Clemson University;clemson.edu
Cleveland State University;csuohio.edu
College of William and Mary;wm.edu
Colorado School of Mines;mines.edu
Colorado State University;colostate.edu
Columbia University;columbia.edu
Cornell University;cornell.edu
Dartmouth College;dartmouth.edu
DePaul University;depaul.edu
Delaware State University;desu.edu
Drexel University;drexel.edu
Duke University;duke.edu
Duquesne University;duq.edu
East Carolina University;ecu.edu
East Tennessee State University;etsu.edu
Eastern Michigan University;emich.edu
Emory University;emory.edu
Florida Agricultural and Mechanical University;famu.edu
Florida Atlantic University;fau.edu
Florida Institute of Technology;fit.edu
Florida International University;fiu.edu
Florida State University;fsu.edu
Fordham University;fordham.edu
Gallaudet University;gallaudet.edu
George Mason University;gmu.edu
George Washington University;gwu.edu
Georgetown University;georgetown.edu
Georgia Institute of Technology;gatech.edu
Georgia Southern University;georgiasouthern.edu
Georgia State University;gsu.edu
Hampton University;hamptonu.edu
Harvard University;harvard.edu
Howard University;howard.edu
Idaho State University;isu.edu
Illinois Institute of Technology;iit.edu
Illinois State University;illinoisstate.edu
Indiana University  Purdue University Indianapolis;iupui.edu
Indiana University Bloomington;indiana.edu
Iowa State University;iastate.edu
Jackson State University;jsums.edu
Johns Hopkins University;jhu.edu
Kansas State University;k-state.edu
Kennesaw State University;kennesaw.edu
Kent State University at Kent;kent.edu
Lehigh University;lehigh.edu
Louisiana State University and Agricultural \& Mechanical College;lsu.edu
Louisiana Tech University;latech.edu
Loyola Marymount University;lmu.edu
Loyola University Chicago;luc.edu
Marquette University;marquette.edu
Marshall University;marshall.edu
Massachusetts Institute of Technology;mit.edu
Mercer University;mercer.edu
Miami University;miamioh.edu
Michigan State University;msu.edu
Michigan Technological University;mtu.edu
Mississippi State University;msstate.edu
Missouri University of Science and Technology;mst.edu
Montana State University;montana.edu
Montclair State University;montclair.edu
Morgan State University;morgan.edu
New Jersey Institute of Technology;njit.edu
New Mexico State University;nmsu.edu
New York University;nyu.edu
North Carolina A \& T State University;ncat.edu
North Carolina State University;ncsu.edu
North Dakota State University;ndsu.edu
Northeastern University;northeastern.edu
Northern Arizona University;nau.edu
Northern Illinois University;niu.edu
Northwestern University;northwestern.edu
Nova Southeastern University;nova.edu
Oakland University;oakland.edu
Ohio State University[4];osu.edu
Ohio University-Main Campus;ohio.edu
Oklahoma State University;okstate.edu
Old Dominion University;odu.edu
Oregon State University;oregonstate.edu
